associado_id,Frequency,Monetary,Recency,r_quartile,f_quartile,m_quartile,RFMScore,categoria
48977,6,397.472,10,2,2,2,222,Destaque
21955,6,656.42,18,2,2,1,221,Destaque
2365,6,232.28,24,2,2,2,222,Destaque
25274,6,789.37,33,3,2,1,321,Distante Fiel Valioso
94369,6,126.96,4,1,2,3,123,Proximo Fiel Limitado
56442,6,3702.0840000000003,24,2,2,1,221,Destaque
18627,6,237.82,80,4,2,2,422,Distante Fiel Valioso
40410,6,574.206,13,2,2,1,221,Destaque
39842,6,564.61,7,2,2,1,221,Destaque
63701,6,113.86,24,2,2,3,223,Proximo Fiel Limitado
75132,6,273.18,3,1,2,2,122,Destaque
95904,6,321.23,0,1,2,2,122,Destaque
40318,6,115.84,2,1,2,3,123,Proximo Fiel Limitado
82079,6,1185.22,13,2,2,1,221,Destaque
34519,6,546.3,7,2,2,1,221,Destaque
17327,6,109.49000000000001,16,2,2,3,223,Proximo Fiel Limitado
